sentence
"Job gains have been strong, on average, in recent months, and the unemployment rate has declined ."
"Household spending has continued t o grow strongly, while growth of  business fixed investment has moderated from its rapid pace earlier in the year ."
"On a 12- month basis, both overall inflation and inflation for items other than food and energy remain near 2 percent."
"Indicators of longer -term inflation expectations are little changed, on balance."
Risks to the economic outlook appear roughly balanced.
