,statement,statment,Theory,FSR,SLOOS,Policy
statement,"T=0.000, P=1.000","T=0.083, P=0.934","T=0.070, P=0.944","T=1.043, P=0.299","T=1.952, P=0.053","T=2.020, P=0.045"
statment,"T=-0.083, P=0.934","T=0.000, P=1.000","T=-0.019, P=0.985","T=0.948, P=0.345","T=1.855, P=0.066","T=1.925, P=0.056"
Theory,"T=-0.070, P=0.944","T=0.019, P=0.985","T=0.000, P=1.000","T=1.046, P=0.297","T=2.016, P=0.046","T=2.083, P=0.039"
FSR,"T=-1.043, P=0.299","T=-0.948, P=0.345","T=-1.046, P=0.297","T=0.000, P=1.000","T=1.016, P=0.311","T=1.113, P=0.268"
SLOOS,"T=-1.952, P=0.053","T=-1.855, P=0.066","T=-2.016, P=0.046","T=-1.016, P=0.311","T=0.000, P=1.000","T=0.123, P=0.902"
Policy,"T=-2.020, P=0.045","T=-1.925, P=0.056","T=-2.083, P=0.039","T=-1.113, P=0.268","T=-0.123, P=0.902","T=0.000, P=1.000"
