gid,token_total,simscore_percentage,adj_token,_simscore_pct,std,cv,mean,round_adj_token
FOMC201803,18000,21.5,17765,21.5,0.07572962,0.155425264,0.487241379,18000
FOMC202303,13000,74,12895,74,0.039153607,0.26970418,0.145172414,13000
FOMC202406,16000,53,15908,53,0.045793497,0.187307673,0.244482759,16000
FOMC201906,11000,26,10959,26,0.055298117,0.386420579,0.143103448,11000
FOMC202003,20000,20,19807,20,0.065307156,0.701447232,0.093103448,20000
FOMC202307,14000,27.5,13906,27.5,0.063500126,1.860104703,0.034137931,14000
FOMC202206,17000,46.5,16992,46.5,0.072685977,0.367869691,0.197586207,17000
FOMC201901,12000,14.5,11976,14.5,0.103143928,0.227292851,0.453793103,12000
FOMC201707,15000,16.5,14927,16.5,0.051315214,0.159159489,0.322413793,15000
FOMC202201,11000,54.5,10872,54.5,0.070021109,0.244652067,0.286206897,11000
FOMC202501,18000,100,15751,100,0.071546946,0.277759229,0.257586207,16000
FOMC202007,14000,63.5,13873,63.5,0.041033448,0.171960981,0.23862069,14000
FOMC202007,20000,95,19900,95,0.0399692,0.168230305,0.237586207,20000
FOMC202503,14000,72.5,13909,72.5,0.071068551,0.276642681,0.256896552,14000
FOMC202112,17000,100,15745,100,0.068630158,0.250664303,0.273793103,16000
FOMC201707,11000,11.5,10523,11.5,0.057159788,0.182157567,0.313793103,11000
FOMC201812,15000,35,14893,35,0.125708828,0.221345234,0.567931034,15000
FOMC202206,11000,29,10939,29,0.063942708,0.325894296,0.196206897,11000
FOMC202309,18000,87.5,17953,87.5,0.037069366,0.402626078,0.092068966,18000
FOMC202003,13000,12,12746,12,0.050820848,0.672970137,0.075517241,13000
FOMC201905,16000,37.5,15943,37.5,0.059200336,0.244211913,0.242413793,16000
FOMC202405,12000,40.5,11846,40.5,0.048886619,0.463304555,0.105517241,12000
FOMC202303,19000,100,17090,100,0.039916785,0.232447144,0.171724138,17000
FOMC201803,15000,18,14913,18,0.060339761,0.131567899,0.45862069,15000
FOMC201711,18000,24.5,17784,24.5,0.067170102,0.166917992,0.402413793,18000
FOMC202109,13000,87,12880,87,0.060772936,0.210815209,0.288275862,13000
FOMC202411,16000,25.5,15844,25.5,0.067113242,0.194823224,0.344482759,16000
FOMC202009,10000,30,9995,30,0.044792901,0.337401069,0.132758621,10000
FOMC202103,16000,55.5,15998,55.5,0.136936918,0.685909429,0.199642857,16000
FOMC202409,11000,32.5,10945,32.5,0.083852733,0.20555615,0.407931034,11000
FOMC202104,19000,67,18941,67,0.046389335,0.146545831,0.316551724,19000
FOMC201712,13000,17,12936,17,0.08657694,0.165834297,0.522068966,13000
FOMC201808,19000,85,18916,85,0.034341088,0.047902432,0.716896552,19000
FOMC202302,15000,93.5,14899,93.5,0.052557733,0.483864841,0.10862069,15000
FOMC202401,17000,56.5,16913,56.5,0.060924729,0.262139044,0.232413793,17000
FOMC201907,12000,16.5,11949,16.5,0.064171491,0.274075589,0.234137931,12000
FOMC201910,18000,22,17899,22,0.047103282,0.285773052,0.164827586,18000
FOMC202309,14000,66.5,13908,66.5,,,,14000
FOMC202211,15000,65,14752,65,0.073939131,0.348656064,0.212068966,15000
FOMC201812,11000,25,10916,25,0.098828109,0.171003291,0.577931034,11000
FOMC201703,17000,24,16953,24,0.052963878,0.1106594,0.47862069,17000
FOMC202203,12000,25.5,11875,25.5,0.052063338,5.032789312,0.010344828,12000
FOMC202506,20000,100,17001,100,0.049886571,0.220535146,0.226206897,17000
FOMC202004,14000,25.5,13905,25.5,0.072748639,0.134891978,0.539310345,14000
FOMC202003,17000,16,16959,16,0.070172202,0.798036807,0.087931034,17000
FOMC202505,11000,64.5,10927,64.5,0.043290577,0.481006413,0.09,11000
FOMC202205,20000,34,19990,34,0.050874132,0.341516166,0.148965517,20000
FOMC201705,14000,11.5,13772,11.5,0.052127165,0.147337992,0.353793103,14000
