Date,Percent,SimScoreIndex,Cutoff,NodeCount,RelCount
201901,Sim_5%,16,0.6287812894526474,403,531
201901,Sim_6%,16,0.6232741125012033,462,606
201901,Sim_7%,16,0.6191277722192792,512,678
201901,Sim_8%,16,0.6156632299949468,547,723
201901,Sim_9%,16,0.6120463901585905,578,758
201901,Sim_10%,16,0.6092940573555032,603,787
201901,Sim_11%,16,0.6068368525426554,641,850
201901,Sim_12%,16,0.6024049790456816,683,912
201901,Sim_13%,16,0.6006151749236728,723,977
201901,Sim_14%,16,0.5989067454378262,762,1029
201901,Sim_15%,16,0.5975652554689408,804,1093
201901,Sim_16%,16,0.594662324250436,834,1145
201901,Sim_17%,16,0.5924844454597927,889,1255
201901,Sim_18%,16,0.5908583453055816,934,1306
201901,Sim_19%,16,0.5880642461080426,982,1370
201901,Sim_20%,16,0.5862531748915173,1006,1399
201903,Sim_5%,17,0.6417521019693054,268,350
201903,Sim_6%,17,0.6356475222956477,302,385
201903,Sim_7%,17,0.6329971964908027,331,418
201903,Sim_8%,17,0.6295026943880466,353,445
201903,Sim_9%,17,0.6256455322041529,394,498
201903,Sim_10%,17,0.6225065003220931,414,519
201903,Sim_11%,17,0.6194771533050101,446,552
201903,Sim_12%,17,0.6157484994514679,463,576
201903,Sim_13%,17,0.6138500841222664,495,614
201903,Sim_14%,17,0.6124099118424648,509,636
201903,Sim_15%,17,0.6100642719779796,563,708
201903,Sim_16%,17,0.6073223517605539,587,734
201903,Sim_17%,17,0.6056991402294873,620,782
201903,Sim_18%,17,0.6040767937650992,653,824
201903,Sim_19%,17,0.6021048880200428,687,871
201903,Sim_20%,17,0.6000616301273446,717,904
201905,Sim_5%,18,0.6444671342423376,283,383
201905,Sim_6%,18,0.6404149045207492,302,407
201905,Sim_7%,18,0.6367529159269547,328,437
201905,Sim_8%,18,0.6339842296088886,359,474
201905,Sim_9%,18,0.6302218020732641,377,497
201905,Sim_10%,18,0.6257076175533645,402,529
201905,Sim_11%,18,0.622455418546019,435,565
201905,Sim_12%,18,0.6205775954521615,465,597
201905,Sim_13%,18,0.6169169707435133,500,639
201905,Sim_14%,18,0.6151436219276606,522,666
