Date,Percent,SimScoreIndex,Cutoff,NodeCount,RelCount
201905,Sim_15%,18,0.613096320505986,547,707
201905,Sim_16%,18,0.611422330480026,571,739
201905,Sim_17%,18,0.6087323680595464,611,785
201905,Sim_18%,18,0.6067525907103776,630,811
201905,Sim_19%,18,0.6044921075866762,644,840
201905,Sim_20%,18,0.6021460043278711,665,867
201906,Sim_5%,19,0.6450829649626464,275,374
201906,Sim_6%,19,0.6400907292882516,308,421
201906,Sim_7%,19,0.6384944524616233,324,437
201906,Sim_8%,19,0.6348488220607872,344,466
201906,Sim_9%,19,0.6318236067813068,381,509
201906,Sim_10%,19,0.6282693770879771,418,556
201906,Sim_11%,19,0.6248734792609695,436,575
201906,Sim_12%,19,0.6216632079076259,475,624
201906,Sim_13%,19,0.6191017642118526,492,648
201906,Sim_14%,19,0.6175359890944284,518,688
201906,Sim_15%,19,0.6159324175146741,542,722
201906,Sim_16%,19,0.6129276420804542,567,758
201906,Sim_17%,19,0.6116080490196537,598,811
201906,Sim_18%,19,0.6095868713370953,609,825
201906,Sim_19%,19,0.607731077182129,621,843
201906,Sim_20%,19,0.6057222735828766,654,889
201907,Sim_5%,20,0.6411805819831657,346,460
201907,Sim_6%,20,0.6357014593409677,426,567
201907,Sim_7%,20,0.6330128611191306,441,590
201907,Sim_8%,20,0.6281795172942322,483,644
201907,Sim_9%,20,0.6253671955594932,534,733
201907,Sim_10%,20,0.6227558046371422,561,766
201907,Sim_11%,20,0.6185951459680598,591,810
201907,Sim_12%,20,0.616281793147288,638,883
201907,Sim_13%,20,0.6127886694518625,677,929
201907,Sim_14%,20,0.6106085082786302,693,944
201907,Sim_15%,20,0.6087959359719383,713,969
201907,Sim_16%,20,0.6072268485425149,755,1038
201907,Sim_17%,20,0.6047687029028276,789,1077
201907,Sim_18%,20,0.6030359210248737,816,1116
201907,Sim_19%,20,0.6006048974004898,850,1178
201907,Sim_20%,20,0.5976205799511478,915,1281
201909,Sim_5%,21,0.6438679685266919,332,533
201909,Sim_6%,21,0.6390958488570727,382,599
201909,Sim_7%,21,0.6359482261009338,405,629
201909,Sim_8%,21,0.6323434009373669,434,667
201909,Sim_9%,21,0.6304317791448496,469,708
201909,Sim_10%,21,0.6277343648026582,508,760
201909,Sim_11%,21,0.6239898167909587,530,789
201909,Sim_12%,21,0.6209582872397967,565,850
201909,Sim_13%,21,0.6170814887802477,590,884
201909,Sim_14%,21,0.6151296984362503,630,937
201909,Sim_15%,21,0.6129020038048179,664,997
201909,Sim_16%,21,0.6102427071364153,679,1018
201909,Sim_17%,21,0.6086910922208927,712,1061
201909,Sim_18%,21,0.607116757529594,744,1139
201909,Sim_19%,21,0.6049118630308804,769,1171
201909,Sim_20%,21,0.6029357767663627,798,1222
201910,Sim_5%,22,0.6501129389322454,222,275
201910,Sim_6%,22,0.6461620085529363,239,298
201910,Sim_7%,22,0.6420212347863319,269,330
201910,Sim_8%,22,0.6387564266095045,289,362
201910,Sim_9%,22,0.635861275018804,313,385
201910,Sim_10%,22,0.6313688685499838,342,414
201910,Sim_11%,22,0.6268220045141376,363,438
201910,Sim_12%,22,0.6242986740494866,375,466
201910,Sim_13%,22,0.6225693178901849,396,503
201910,Sim_14%,22,0.6199615808871732,421,549
201910,Sim_15%,22,0.6177291319181113,452,586
201910,Sim_16%,22,0.6163122340457997,461,594
201910,Sim_17%,22,0.6135325232627485,477,613
201910,Sim_18%,22,0.6115324479375938,496,634
201910,Sim_19%,22,0.6095617210967985,518,657
201910,Sim_20%,22,0.6077032549220256,545,687
201912,Sim_5%,23,0.6481887446462329,258,336
201912,Sim_6%,23,0.6443398592021139,303,386
201912,Sim_7%,23,0.6422129146405425,346,439
201912,Sim_8%,23,0.6378103139060907,382,483
201912,Sim_9%,23,0.6335769691027829,393,494
201912,Sim_10%,23,0.6306969510460421,411,522
201912,Sim_11%,23,0.6258623607464738,439,556
201912,Sim_12%,23,0.6229213896028323,473,606
201912,Sim_13%,23,0.620855108712468,510,651
201912,Sim_14%,23,0.6187013789989532,527,670
201912,Sim_15%,23,0.6168993638691639,553,701
201912,Sim_16%,23,0.6150234978877885,598,783
201912,Sim_17%,23,0.6138618755389917,612,800
201912,Sim_18%,23,0.6118718601941975,635,826
201912,Sim_19%,23,0.6100246868973688,669,868
201912,Sim_20%,23,0.6079996507528491,704,913
